ticker,company,indus
20MICRONS.NS,Microns Limited,Basic Materials
AARTIIND.NS,Aarti Industries Limited,Basic Materials
ABMINTLTD.NS,ABM International Limited,Basic Materials
ACC.NS,ACC Limited,Basic Materials
ADHUNIKIND.NS,Adhunik Industries Limited,Basic Materials
ADVENZYMES.NS,Advanced Enzyme Technologies Limited,Basic Materials
AGARIND.NS,Agarwal Industrial Corporation Limited,Basic Materials
AKSHARCHEM.NS,AksharChem,Basic Materials
AKZOINDIA.NS,Akzo Nobel India Limited,Basic Materials
ALKALI.NS,Alkali Metals Limited,Basic Materials
AMBUJACEM.NS,Ambuja Cements Limited,Basic Materials
ANDHRACEMT.NS,Andhra Cements Limited,Basic Materials
ANDHRAPAP.NS,Andhra Paper Limited,Basic Materials
ANDHRSUGAR.NS,The Andhra Sugars Limited,Basic Materials
ANKITMETAL.NS,Ankit Metal & Power Limited,Basic Materials
APCL.NS,Anjani Portland Cement Limited,Basic Materials
APCOTEXIND.NS,Apcotex Industries Limited,Basic Materials
APLAPOLLO.NS,APL Apollo Tubes Limited,Basic Materials
ARCHIDPLY.NS,Archidply Industries Limited,Basic Materials
ARENTERP.NS,Rajdarshan Industries Limited,Basic Materials
ASAHISONG.NS,Asahi Songwon Colors Limited,Basic Materials
ASHAPURMIN.NS,Ashapura Minechem Limited,Basic Materials
ASTEC.NS,Astec LifeSciences Limited,Basic Materials
ASTRON.NS,Astron Paper & Board Mill Limited,Basic Materials
ATUL.NS,Atul Ltd,Basic Materials
AVTNPL.NS,AVT Natural Products Limited,Basic Materials
BALAMINES.NS,Balaji Amines Limited,Basic Materials
BALLARPUR.NS,Ballarpur Industries Limited,Basic Materials
BASF.NS,BASF India Limited,Basic Materials
BAYERCROP.NS,Bayer CropScience Limited,Basic Materials
BEDMUTHA.NS,Bedmutha Industries Limited,Basic Materials
BEPL.NS,Bhansali Engineering Polymers Limited,Basic Materials
BERGEPAINT.NS,Berger Paints India Limited,Basic Materials
BHAGYANGR.NS,Bhagyanagar India Limited,Basic Materials
BHARATWIRE.NS,Bharat Wire Ropes Limited,Basic Materials
BIRLACORPN.NS,Birla Corporation Limited,Basic Materials
BODALCHEM.NS,Bodal Chemicals Limited,Basic Materials
BSHSL.NS,Bombay Super Hybrid Seeds Limited,Basic Materials
BURNPUR.NS,Burnpur Cement Limited,Basic Materials
BVCL.NS,Barak Valley Cements Limited,Basic Materials
CAMLINFINE.NS,Camlin Fine Sciences Limited,Basic Materials
CASTROLIND.NS,Castrol India Limited,Basic Materials
CENTURYTEX.NS,Century Textiles and Industries Limited,Basic Materials
CHAMBLFERT.NS,Chambal Fertilisers and Chemicals Limited,Basic Materials
CHEMBOND.NS,Chembond Chemicals Limited,Basic Materials
CHEMCON.NS,Chemcon Speciality Chemicals Limited,Basic Materials
CHROMATIC.NS,Chromatic India Limited,Basic Materials
CLNINDIA.NS,Clariant Chemicals (India,Basic Materials
COROMANDEL.NS,Coromandel International Limited,Basic Materials
CUBEXTUB.NS,Cubex Tubings Limited,Basic Materials
DCW.NS,DCW Limited,Basic Materials
DECCANCE.NS,Deccan Cements Limited,Basic Materials
DEEPAKFERT.NS,Deepak Fertilisers And Petrochemicals Corporation Limited,Basic Materials
DEEPAKNTR.NS,Deepak Nitrite Limited,Basic Materials
DHANUKA.NS,Dhanuka Agritech Limited,Basic Materials
DICIND.NS,DIC India Limited,Basic Materials
DYNPRO.NS,Dynemic Products Limited,Basic Materials
ELECTCAST.NS,Castings Limited,Basic Materials
ESTER.NS,Ester Industries Limited,Basic Materials
EXCELINDUS.NS,Excel Industries Limited,Basic Materials
FACT.NS,The Fertilisers And Chemicals Travancore Limited,Basic Materials
FAIRCHEMOR.NS,Fairchem Organics Limited,Basic Materials
FCL.NS,Fineotex Chemical Limited,Basic Materials
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,Basic Materials
FOSECOIND.NS,Foseco India Limited,Basic Materials
GAL.NS,Gyscoal Alloys Limited,Basic Materials
